Sr.#,Sheet,Assignment_1,Assignment_2,Assignment_3,Assignment_4,Assignment_5,Assignment_6,Quiz_1,Quiz_2,Quiz_3,Quiz_4,Quiz_5,Quiz_6,Quiz_7,Quiz_8,Midterm_1,Midterm_2,Midterm_3,Midterm_4,Midterm_5,Midterm_6,Midterm_7,Midterm_8,Final_1,Final_2,Final_3,Final_4,Final_5,Final_6,Student_ID,Assignment_Mean,Assignment_Max,Assignment_Min,Assignment_Std,Assignment_Sum,Quiz_Mean,Quiz_Max,Quiz_Min,Quiz_Std,Quiz_Sum,Overall_Mean,Overall_Std,Assignment_CV,Quiz_CV
,1,113.0,59.0,51.5,33.0,66.0,49.0,4.5,2.0,0.5,0.0,0.0,1.5,2.0,2.0,9.0,3.37,4.75,1.78,0.0,0.0,0.0,0.0,27.75,12.48,0.0,0.0,0.0,0.0,13,61.916666666666664,113.0,33.0,27.372279164634183,371.5,1.5625,4.5,0.0,1.474485382381644,12.5,27.428571428571427,35.35580528050474,0.4420111825487273,0.9376695595431758
,1,0.0,65.5,60.5,28.0,62.0,73.0,2.5,6.5,9.0,10.0,10.0,3.5,8.0,2.0,14.75,5.53,17.5,6.56,0.0,0.0,0.0,0.0,60.5,27.22,0.0,0.0,0.0,0.0,14,48.166666666666664,73.0,0.0,28.239452308192284,289.0,6.4375,10.0,2.0,3.342769382242386,51.5,24.321428571428573,27.784616069146793,0.5861645120360953,0.5184597723524446
,1,105.0,60.0,39.5,50.0,80.0,89.0,0.0,2.0,5.5,1.0,1.0,1.5,7.0,2.0,15.5,5.81,6.25,2.34,0.0,0.0,0.0,0.0,40.0,18.0,0.0,0.0,0.0,0.0,15,70.58333333333333,105.0,39.5,24.95679600162382,423.5,2.5,7.0,0.0,2.434865792722759,20.0,31.678571428571427,38.2786379182844,0.3535290773674165,0.9700660528775933
,1,92.0,51.0,0.0,35.0,85.0,72.0,2.5,5.5,1.5,1.0,1.0,2.0,1.0,2.0,18.5,6.93,16.25,6.09,0.0,0.0,0.0,0.0,47.5,21.37,0.0,0.0,0.0,0.0,16,55.833333333333336,92.0,0.0,34.626098057197645,335.0,2.0625,5.5,1.0,1.498511165886232,16.5,25.107142857142858,34.998449730187815,0.6200578652873691,0.7230451946375065
,1,122.0,54.5,79.0,35.0,90.0,0.0,3.5,5.5,0.0,1.0,1.0,4.5,4.0,2.0,14.0,5.25,5.75,2.15,0.0,0.0,0.0,0.0,45.75,20.58,0.0,0.0,0.0,0.0,17,63.416666666666664,122.0,0.0,43.10500744306474,380.5,2.6875,5.5,0.0,1.9628241315585488,21.5,28.714285714285715,41.101990540284376,0.6796038592032491,0.7276456465462647
,1,109.0,0.0,75.5,33.0,100.0,88.0,3.0,4.5,6.0,0.0,1.0,3.5,2.0,2.0,15.0,5.62,5.0,1.87,0.0,0.0,0.0,0.0,47.25,21.26,0.0,0.0,0.0,0.0,18,67.58333333333333,109.0,0.0,42.44810557217679,405.5,2.75,6.0,0.0,1.927248223318863,22.0,30.535714285714285,42.46875063172663,0.6279924879994594,0.6982783417821968
,1,0.0,62.0,79.0,50.0,88.0,90.0,4.0,7.0,0.0,10.0,3.0,4.0,4.0,2.0,15.5,5.81,14.0,5.25,0.0,0.0,0.0,0.0,61.25,27.56,0.0,0.0,0.0,0.0,19,61.5,90.0,0.0,33.86886475806356,369.0,4.25,10.0,0.0,3.058944729337694,34.0,28.785714285714285,36.202801785812895,0.5506237157870844,0.7180621430370174
,1,0.0,63.5,85.0,50.0,96.0,33.0,5.0,4.0,4.0,10.0,3.0,4.0,4.0,2.0,21.5,8.06,29.5,11.06,0.0,0.0,0.0,0.0,49.25,22.16,0.0,0.0,0.0,0.0,20,54.583333333333336,96.0,0.0,35.17444621691529,327.5,4.5,10.0,2.0,2.390457218668787,36.0,25.964285714285715,33.77098452228474,0.644299295706105,0.5300348600152521
,1,104.0,0.0,0.0,49.5,94.0,80.0,4.5,3.0,9.5,1.0,0.0,5.0,6.0,2.0,19.0,7.12,18.5,6.93,0.0,0.0,0.0,0.0,65.25,29.36,0.0,0.0,0.0,0.0,21,54.583333333333336,104.0,0.0,46.10034345497511,327.5,3.875,9.5,0.0,3.0560244950402007,31.0,25.607142857142858,38.73736944100349,0.8444317399250539,0.7866214916448393
,1,103.0,0.0,80.0,50.0,110.0,90.0,4.0,9.0,10.0,10.0,2.0,5.0,0.0,2.0,29.5,11.06,19.25,7.21,0.0,0.0,0.0,0.0,63.75,28.68,0.0,0.0,0.0,0.0,22,72.16666666666667,110.0,0.0,41.13595345517916,433.0,5.25,10.0,0.0,3.955105199973465,42.0,33.92857142857143,42.89784697074289,0.5699342371289774,0.751921140679366
